Leg1_x,Leg1_y,Leg1_z,Leg2_x,Leg2_y,Leg2_z,Leg3_x,Leg3_y,Leg3_z,Leg4_x,Leg4_y,Leg4_z,deltaTime,XGyro,YGyro
148.48652421932763,155.64807597546164,-147.89798758164085,151.4894614399205,150.85047259840937,147.96346677288113,151.4894614399205,144.3089580980829,-151.99189498797398,148.48652421932763,149.10656147513518,152.0573741792142,16,-0.3333630859851837,-0.43959957361221313
148.42014367380705,155.71745902108455,-147.9190539437887,151.55370726182383,150.71115232509297,147.9866587538679,151.55370726182383,144.23882698237102,-151.9696423273478,148.42014367380705,149.2451336783626,152.03724713742696,0,-0.26341089606285095,-0.34454208612442017
148.42014367380705,155.71745902108455,-147.9190539437887,151.55370726182383,150.71115232509297,147.9866587538679,151.55370726182383,144.23882698237102,-151.9696423273478,148.42014367380705,149.2451336783626,152.03724713742696,15,-0.2285671830177307,-0.2936059534549713
148.6849427972707,154.73301868891352,-148.29642417763904,151.29688932997732,150.55994514763717,148.34276734580715,151.29688932997732,145.2371139654726,-151.62767778856033,148.6849427972707,149.41018750674894,151.67402095672844,16,-0.14235404133796692,-0.19534851610660553
148.5968864440199,155.26139010026415,-148.04031731488294,151.38245010654555,150.81101783030363,148.09704727133442,151.38245010654555,144.7013075535641,-151.86401334360238,148.5968864440199,149.15167982352463,151.92074330005386,0,-0.10154034942388535,-0.14643049240112305
148.5968864440199,155.26139010026415,-148.04031731488294,151.38245010654555,150.81101783030363,148.09704727133442,151.38245010654555,144.7013075535641,-151.86401334360238,148.5968864440199,149.15167982352463,151.92074330005386,22,-0.015299671329557896,-0.02882067859172821
148.93160448246766,153.96661685980644,-148.54620898441584,151.05637298475546,150.5718456921633,148.5785023453554,151.05637298475546,146.01228625243195,-151.3998113375796,148.93160448246766,149.4070574200751,151.43210469851908,0,0.03370418772101402,0.030708367004990578
148.93160448246766,153.96661685980644,-148.54620898441584,151.05637298475546,150.5718456921633,148.5785023453554,151.05637298475546,146.01228625243195,-151.3998113375796,148.93160448246766,149.4070574200751,151.43210469851908,16,0.08099164813756943,0.028798218816518784
148.99185106861012,154.48766587624115,-148.14818156084124,150.9974373196178,151.2834033878793,148.18695444592925,150.9974373196178,145.483670007896,-151.77795726685105,148.99185106861012,148.68793249625784,151.81673015193905,16,0.056298449635505676,-0.020473703742027283
148.45122596079443,156.22786108994742,-147.55254918391898,151.52363567971292,151.31942592916536,147.63039110556196,151.52363567971292,143.71868949446807,-152.30934338061803,148.45122596079443,148.62712465525013,152.38718530226106,0,-0.0037721581757068634,-0.06952699273824692
